Order_ID,Date,Region,Product,Category,Salesperson,Customer_ID,Customer_Type,Marketing_Channel,Supplier,Units_Sold,Discount_Percent,Inventory_Level,Delivery_Time_Days,Customer_Rating,Unit_Price,Unit_Cost,Gross_Sales,Discount_Amount,Net_Sales,Total_Cost,Profit,Profit_Margin
ORD-1379,2025-01-01,Sylhet,Tablet,Electronics,Rahim,CUST-605,Corporate,Direct Sales,Supplier B,32,0.19,67,12,2.8,46097,32059,1475104,280270,1194834,1025888,168946,0.141
ORD-1070,2025-01-01,Rajshahi,Printer,Office Equipment,Nila,CUST-197,Retail,Email,Supplier B,17,0.07,147,2,3.5,25297,16903,430049,30103,399946,287351,112595,0.282
ORD-1317,2025-01-02,Sylhet,Printer,Office Equipment,Sadia,CUST-128,Retail,Facebook,Supplier A,23,0.13,22,11,3.4,22765,17717,523595,68067,455528,407491,48037,0.105
ORD-1300,2025-01-02,Chittagong,Mobile,Electronics,Sadia,CUST-732,Corporate,Email,Supplier D,22,0.12,296,10,4.1,55764,33787,1226808,147217,1079591,743314,336277,0.311
ORD-1011,2025-01-04,Khulna,Monitor,Electronics,Tania,CUST-180,Retail,Email,Supplier B,20,0.03,39,3,2.8,34342,24428,686840,20605,666235,488560,177675,0.267
ORD-1275,2025-01-04,Sylhet,Mobile,Electronics,Sadia,CUST-136,Retail,Email,Supplier D,3,0.0,146,12,4.5,33657,22095,100971,0,100971,66285,34686,0.344
ORD-1318,2025-01-04,Khulna,Printer,Office Equipment,Rahim,CUST-537,Corporate,Dealer,Supplier D,25,0.0,208,12,2.6,26183,16432,654575,0,654575,410800,243775,0.372
ORD-1449,2025-01-05,Khulna,Printer,Office Equipment,Karim,CUST-428,Retail,Online,Supplier D,33,0.17,233,2,3.8,38499,21759,1270467,215979,1054488,718047,336441,0.319
ORD-1169,2025-01-07,Sylhet,Office Chair,Furniture,Rahim,CUST-881,Corporate,Email,Supplier A,28,0.19,71,3,3.7,16764,12351,469392,89184,380208,345828,34380,0.09
ORD-1083,2025-01-07,Rajshahi,Monitor,Electronics,Tania,CUST-711,Wholesale,Facebook,Supplier B,8,0.14,236,3,2.7,19141,11910,153128,21438,131690,95280,36410,0.276
ORD-1167,2025-01-07,Dhaka,Printer,Office Equipment,Tania,CUST-813,Wholesale,Email,Supplier C,16,0.13,204,3,4.0,41212,25171,659392,85721,573671,402736,170935,0.298
ORD-1121,2025-01-09,Chittagong,Monitor,Electronics,Karim,CUST-117,Corporate,Email,Supplier D,15,0.04,97,8,4.6,13164,9397,197460,7898,189562,140955,48607,0.256
ORD-1024,2025-01-09,Rajshahi,Printer,Office Equipment,Karim,CUST-553,Retail,Email,Supplier A,6,0.1,178,7,3.9,39862,29895,239172,23917,215255,179370,35885,0.167
ORD-1241,2025-01-10,Khulna,Printer,Office Equipment,Karim,CUST-977,Wholesale,Email,Supplier B,22,0.11,165,9,2.6,21716,14811,477752,52553,425199,325842,99357,0.234
ORD-1408,2025-01-11,Sylhet,Mobile,Electronics,Sadia,CUST-311,Retail,Email,Supplier A,31,0.1,167,14,3.8,39281,30109,1217711,121771,1095940,933379,162561,0.148
ORD-1087,2025-01-11,Rajshahi,Tablet,Electronics,Tania,CUST-137,Corporate,Direct Sales,Supplier C,39,0.01,51,13,4.4,32516,21490,1268124,12681,1255443,838110,417333,0.332
ORD-1333,2025-01-12,Khulna,Tablet,Electronics,Sadia,CUST-694,Retail,Facebook,Supplier C,23,0.02,72,6,3.0,48565,35159,1116995,22340,1094655,808657,285998,0.261
ORD-1327,2025-01-15,Sylhet,Mobile,Electronics,Sadia,CUST-532,Corporate,Direct Sales,Supplier C,19,0.07,30,14,3.6,55835,31352,1060865,74261,986604,595688,390916,0.396
ORD-1331,2025-01-15,Rajshahi,Office Chair,Furniture,Rahim,CUST-762,Corporate,Direct Sales,Supplier D,22,0.19,49,7,3.7,6627,5171,145794,27701,118093,113762,4331,0.037
ORD-1282,2025-01-15,Chittagong,Tablet,Electronics,Tania,CUST-756,Retail,Email,Supplier D,36,0.02,100,2,3.8,29773,19937,1071828,21437,1050391,717732,332659,0.317
ORD-1094,2025-01-16,Sylhet,Mobile,Electronics,Karim,CUST-129,Corporate,Dealer,Supplier A,31,0.18,56,10,3.8,65983,37751,2045473,368185,1677288,1170281,507007,0.302
ORD-1323,2025-01-16,Chittagong,Laptop,Electronics,Karim,CUST-967,Retail,Dealer,Supplier C,24,0.01,62,6,3.6,129805,82029,3115320,31153,3084167,1968696,1115471,0.362
ORD-1484,2025-01-17,Sylhet,Laptop,Electronics,Rahim,CUST-275,Retail,Online,Supplier C,12,0.0,92,1,4.9,124766,68640,1497192,0,1497192,823680,673512,0.45
ORD-1372,2025-01-17,Chittagong,Monitor,Electronics,Tania,CUST-376,Corporate,Direct Sales,Supplier D,1,0.0,41,13,2.8,41998,24582,41998,0,41998,24582,17416,0.415
ORD-1304,2025-01-18,Rajshahi,Desk,Furniture,Karim,CUST-172,Retail,Email,Supplier C,26,0.14,217,10,3.9,15418,8908,400868,56122,344746,231608,113138,0.328
ORD-1354,2025-01-18,Khulna,Mobile,Electronics,Nila,CUST-564,Wholesale,Facebook,Supplier B,20,0.08,197,7,3.7,76197,45206,1523940,121915,1402025,904120,497905,0.355
ORD-1075,2025-01-19,Dhaka,Tablet,Electronics,Rahim,CUST-680,Retail,Online,Supplier D,1,0.14,286,4,3.4,33963,19846,33963,4755,29208,19846,9362,0.321
ORD-1079,2025-01-20,Dhaka,Office Chair,Furniture,Tania,CUST-834,Corporate,Email,Supplier B,11,0.02,20,10,2.7,8027,5927,88297,1766,86531,65197,21334,0.247
ORD-1223,2025-01-20,Rajshahi,Mobile,Electronics,Sadia,CUST-421,Corporate,Online,Supplier B,5,0.11,235,13,4.0,77582,53587,387910,42670,345240,267935,77305,0.224
ORD-1181,2025-01-21,Sylhet,Desk,Furniture,Karim,CUST-607,Retail,Direct Sales,Supplier B,26,0.14,191,8,4.5,23480,14212,610480,85467,525013,369512,155501,0.296
ORD-1180,2025-01-22,Sylhet,Tablet,Electronics,Rahim,CUST-334,Retail,Facebook,Supplier C,33,0.01,155,8,4.1,24194,15821,798402,7984,790418,522093,268325,0.339
ORD-1413,2025-01-22,Chittagong,Tablet,Electronics,Nila,CUST-997,Retail,Facebook,Supplier A,35,0.07,148,14,3.9,26697,19256,934395,65408,868987,673960,195027,0.224
