Date,Region,Product,Salesperson,Units_Sold,Unit_Price,Total_Sales
2026-01-01,Khulna,Tablet,Sadia,37,574,21238
2026-01-02,Rajshahi,Mobile,Nila,5,221,1105
2026-01-03,Dhaka,Mobile,Sadia,23,949,21827
2026-01-04,Khulna,Monitor,Rahim,6,869,5214
2026-01-05,Khulna,Mobile,Nila,48,237,11376
2026-01-06,Rajshahi,Mobile,Rahim,30,429,12870
2026-01-07,Dhaka,Mobile,Nila,36,564,20304
2026-01-08,Dhaka,Monitor,Nila,10,762,7620
2026-01-09,Khulna,Mobile,Karim,36,637,22932
2026-01-10,Chittagong,Tablet,Rahim,8,975,7800
2026-01-11,Khulna,Monitor,Sadia,15,482,7230
2026-01-12,Khulna,Tablet,Sadia,21,226,4746
2026-01-13,Khulna,Monitor,Rahim,42,425,17850
2026-01-14,Khulna,Mobile,Sadia,28,476,13328
2026-01-15,Rajshahi,Tablet,Sadia,9,997,8973
2026-01-16,Dhaka,Monitor,Rahim,38,808,30704
2026-01-17,Rajshahi,Laptop,Nila,10,483,4830
2026-01-18,Rajshahi,Mobile,Rahim,26,1078,28028
2026-01-19,Rajshahi,Monitor,Nila,15,1159,17385
2026-01-20,Khulna,Laptop,Sadia,20,680,13600
2026-01-21,Chittagong,Monitor,Sadia,37,652,24124
2026-01-22,Dhaka,Laptop,Sadia,13,1028,13364
2026-01-23,Chittagong,Mobile,Karim,10,1015,10150
2026-01-24,Rajshahi,Tablet,Nila,20,858,17160
2026-01-25,Rajshahi,Laptop,Karim,33,715,23595
2026-01-26,Chittagong,Monitor,Karim,7,746,5222
2026-01-27,Chittagong,Mobile,Rahim,24,391,9384
2026-01-28,Chittagong,Laptop,Karim,40,248,9920
2026-01-29,Rajshahi,Monitor,Rahim,23,711,16353
2026-01-30,Rajshahi,Monitor,Rahim,30,216,6480
2026-01-31,Dhaka,Monitor,Karim,7,371,2597
2026-02-01,Dhaka,Laptop,Nila,23,419,9637
2026-02-02,Rajshahi,Laptop,Nila,24,357,8568
2026-02-03,Chittagong,Laptop,Nila,36,676,24336
2026-02-04,Chittagong,Tablet,Nila,11,245,2695
2026-02-05,Dhaka,Laptop,Nila,45,572,25740
2026-02-06,Rajshahi,Laptop,Karim,37,717,26529
2026-02-07,Dhaka,Laptop,Karim,44,298,13112
2026-02-08,Dhaka,Tablet,Sadia,43,1091,46913
2026-02-09,Khulna,Laptop,Nila,22,944,20768
2026-02-10,Khulna,Monitor,Karim,44,236,10384
2026-02-11,Khulna,Laptop,Sadia,5,479,2395
2026-02-12,Chittagong,Monitor,Nila,15,548,8220
2026-02-13,Rajshahi,Monitor,Rahim,32,696,22272
2026-02-14,Rajshahi,Monitor,Sadia,29,501,14529
2026-02-15,Rajshahi,Tablet,Karim,27,380,10260
2026-02-16,Rajshahi,Tablet,Rahim,35,806,28210
2026-02-17,Khulna,Tablet,Rahim,34,298,10132
2026-02-18,Chittagong,Laptop,Rahim,46,899,41354
2026-02-19,Chittagong,Monitor,Sadia,39,1192,46488
2026-02-20,Khulna,Tablet,Karim,11,315,3465
2026-02-21,Chittagong,Tablet,Rahim,20,390,7800
2026-02-22,Khulna,Laptop,Nila,30,452,13560
2026-02-23,Rajshahi,Tablet,Rahim,6,1180,7080
2026-02-24,Khulna,Laptop,Rahim,5,1127,5635
2026-02-25,Rajshahi,Mobile,Sadia,16,1182,18912
2026-02-26,Rajshahi,Tablet,Sadia,9,360,3240
2026-02-27,Dhaka,Mobile,Karim,41,455,18655
2026-02-28,Khulna,Laptop,Nila,36,522,18792
2026-03-01,Dhaka,Monitor,Sadia,13,327,4251
2026-03-02,Khulna,Tablet,Rahim,45,217,9765
2026-03-03,Khulna,Laptop,Karim,39,992,38688
2026-03-04,Dhaka,Monitor,Rahim,23,934,21482
2026-03-05,Dhaka,Monitor,Rahim,20,765,15300
2026-03-06,Khulna,Mobile,Sadia,7,769,5383
2026-03-07,Chittagong,Laptop,Karim,24,522,12528
2026-03-08,Rajshahi,Monitor,Nila,28,1071,29988
2026-03-09,Dhaka,Tablet,Nila,37,885,32745
2026-03-10,Rajshahi,Tablet,Sadia,28,991,27748
2026-03-11,Chittagong,Mobile,Sadia,15,825,12375
2026-03-12,Chittagong,Monitor,Karim,12,487,5844
2026-03-13,Chittagong,Laptop,Nila,40,1142,45680
2026-03-14,Dhaka,Tablet,Nila,42,1053,44226
2026-03-15,Chittagong,Monitor,Nila,44,862,37928
2026-03-16,Dhaka,Monitor,Rahim,24,1161,27864
2026-03-17,Chittagong,Mobile,Nila,39,838,32682
2026-03-18,Rajshahi,Tablet,Rahim,29,354,10266
2026-03-19,Rajshahi,Tablet,Karim,39,689,26871
2026-03-20,Khulna,Laptop,Rahim,29,585,16965
2026-03-21,Rajshahi,Tablet,Karim,33,1185,39105
2026-03-22,Khulna,Laptop,Nila,22,984,21648
2026-03-23,Rajshahi,Tablet,Nila,22,303,6666
2026-03-24,Dhaka,Mobile,Karim,6,1128,6768
2026-03-25,Rajshahi,Tablet,Sadia,39,592,23088
2026-03-26,Khulna,Laptop,Karim,20,1010,20200
2026-03-27,Khulna,Laptop,Sadia,45,445,20025
2026-03-28,Chittagong,Mobile,Rahim,40,375,15000
2026-03-29,Dhaka,Tablet,Rahim,37,238,8806
2026-03-30,Rajshahi,Tablet,Rahim,8,676,5408
2026-03-31,Chittagong,Mobile,Nila,37,881,32597
2026-04-01,Rajshahi,Tablet,Rahim,18,958,17244
2026-04-02,Rajshahi,Tablet,Sadia,25,737,18425
2026-04-03,Chittagong,Laptop,Rahim,24,1066,25584
2026-04-04,Chittagong,Tablet,Karim,12,1017,12204
2026-04-05,Chittagong,Tablet,Karim,11,1120,12320
2026-04-06,Chittagong,Mobile,Nila,7,607,4249
2026-04-07,Chittagong,Mobile,Karim,21,724,15204
2026-04-08,Rajshahi,Monitor,Sadia,37,1027,37999
2026-04-09,Chittagong,Laptop,Rahim,16,705,11280
2026-04-10,Dhaka,Tablet,Nila,26,1102,28652
